Date - Time,Count,Rain(inches),Date - Time 2,Stage,Flow
10/19/17 13:00,12.36,0,10/19/17 13:00,1.02,1
10/19/17 12:45,12.36,0,10/19/17 12:45,1.01,1
10/19/17 12:30,12.36,0,10/19/17 12:30,1.02,1
10/19/17 12:15,12.36,0,10/19/17 12:15,1,1
10/19/17 12:00,12.36,0,10/19/17 12:00,1.02,1
10/19/17 11:45,12.36,0,10/19/17 11:45,1.01,1
10/19/17 11:15,12.36,0,10/19/17 11:15,1.03,1
10/19/17 11:00,12.36,0,10/19/17 11:00,1.02,1
10/19/17 10:45,12.36,0,10/19/17 10:45,1.04,1
10/19/17 10:30,12.36,0,10/19/17 10:30,1.01,1
10/19/17 10:15,12.36,0,10/19/17 10:15,1.04,1
10/19/17 10:00,12.36,0,10/19/17 10:00,1.02,1
10/19/17 9:45,12.36,0,10/19/17 9:45,1.05,1
10/19/17 9:30,12.36,0,10/19/17 9:30,1,1
10/19/17 9:15,12.36,0,10/19/17 9:15,1.02,1
10/19/17 9:00,12.36,0,10/19/17 9:00,1.05,1
10/19/17 8:45,12.36,0,10/19/17 8:45,1.01,1
10/19/17 8:30,12.36,0,10/19/17 8:30,1.01,1
10/19/17 8:15,12.36,0,10/19/17 8:15,0.99,1
10/19/17 8:00,12.36,0,10/19/17 8:00,1.04,1
10/19/17 7:45,12.36,0,10/19/17 7:45,1.04,1
10/19/17 7:30,12.36,0,10/19/17 7:30,1.03,1
10/19/17 7:15,12.36,0,10/19/17 7:15,1.03,1
10/19/17 7:00,12.36,0,10/19/17 7:00,1.06,1
10/19/17 6:45,12.36,0,10/19/17 6:45,1.04,1
10/19/17 6:30,12.36,0,10/19/17 6:30,1.01,1
10/19/17 6:15,12.36,0,10/19/17 6:15,1.08,1
10/19/17 6:00,12.36,0,10/19/17 6:00,1.07,1
10/19/17 5:45,12.36,0,10/19/17 5:45,1.02,1
10/19/17 5:30,12.36,0,10/19/17 5:30,1.02,1
10/19/17 5:15,12.36,0,10/19/17 5:15,1.05,1
10/19/17 5:00,12.36,0,10/19/17 5:00,1.05,1
10/19/17 4:45,12.36,0,10/19/17 4:45,1.01,1
10/19/17 4:30,12.36,0,10/19/17 4:30,1.04,1
